LMK_KEY,IMPROVEMENT_ID,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,INDICATIVE_COST
Liverpool_0,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_0,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_2,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_3,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_4,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_6,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_6,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_8,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_9,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_10,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_12,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_12,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_14,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_15,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_16,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_18,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_18,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_20,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_21,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_22,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_24,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_24,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_26,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_27,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_28,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_30,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_30,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_32,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_33,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_34,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_36,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_36,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_38,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_39,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_40,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_42,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_42,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_44,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_45,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_46,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_48,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_48,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_50,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_51,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_52,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_54,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_54,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_56,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_57,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_58,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_60,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_60,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_62,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_63,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_64,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_66,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_66,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_68,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_69,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_70,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_72,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_72,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_74,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_75,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Liverpool_76,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Liverpool_78,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
