LMK_KEY,IMPROVEMENT_ID,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,INDICATIVE_COST
Sheffield_0,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_0,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_2,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_3,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_4,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_6,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_6,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_8,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_9,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_10,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_12,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_12,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_14,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_15,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_16,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_18,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_18,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_20,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_21,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_22,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_24,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_24,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_26,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_27,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_28,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_30,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_30,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_32,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_33,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_34,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_36,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_36,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_38,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_39,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_40,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_42,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_42,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_44,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_45,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_46,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_48,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_48,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_50,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_51,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_52,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_54,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_54,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_56,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_57,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_58,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_60,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_60,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_62,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_63,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_64,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_66,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Sheffield_66,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Sheffield_68,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
