LMK_KEY,IMPROVEMENT_ID,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,INDICATIVE_COST
Cambridge_0,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_0,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_2,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_3,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_4,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_6,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_6,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_8,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_9,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_10,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_12,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_12,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_14,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_15,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_16,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_18,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_18,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_20,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_21,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_22,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_24,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_24,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_26,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_27,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_28,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_30,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_30,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_32,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_33,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_34,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_36,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_36,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_38,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_39,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_40,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_42,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_42,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_44,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_45,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_46,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_48,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_48,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_50,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_51,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_52,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_54,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_54,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_56,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_57,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_58,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_60,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_60,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Cambridge_62,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Cambridge_63,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
