LMK_KEY,IMPROVEMENT_ID,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,INDICATIVE_COST
Boston_0,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_0,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_2,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_3,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_4,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_6,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_6,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_8,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_9,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_10,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_12,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_12,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_14,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_15,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_16,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_18,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_18,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_20,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_21,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_22,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_24,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_24,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_26,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_27,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_28,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_30,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_30,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_32,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_33,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_34,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_36,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_36,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_38,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_39,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_40,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_42,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_42,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_44,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_45,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_46,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_48,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_48,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_50,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_51,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_52,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_54,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_54,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_56,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_57,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_58,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_60,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_60,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_62,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_63,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_64,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_66,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_66,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_68,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
Boston_69,6,Wall Insulation,Cavity Wall Insulation,"£500 - £1,500"
Boston_70,34,Solar PV,Install Solar PV,"£3,500 - £5,500"
